data;feriado
12/10/2007;Nossa Senhora Aparecida
02/11/2007;Finados
15/11/2007;Proclamação da República
25/12/2007;Natal
01/1/2008;Ano-Novo
21/3/2008;Sexta-feira Santa
23/3/2008;Páscoa
21/4/2008;Tiradentes
01/5/2008;Dia do Trabalhador
22/5/2008;Corpus Christi
07/9/2008;Dia da Independência do Brasil - 7 de Setembro
12/10/2008;Nossa Senhora Aparecida
02/11/2008;Finados
15/11/2008;Proclamação da República
25/12/2008;Natal
01/1/2009;Ano-Novo
10/4/2009;Sexta-feira Santa
12/4/2009;Páscoa
21/4/2009;Tiradentes
01/5/2009;Dia do Trabalhador
11/6/2009;Corpus Christi
07/9/2009;Dia da Independência do Brasil - 7 de Setembro
12/10/2009;Nossa Senhora Aparecida
02/11/2009;Finados
15/11/2009;Proclamação da República
25/12/2009;Natal
01/1/2010;Ano-Novo
02/4/2010;Sexta-feira Santa
04/4/2010;Páscoa
21/4/2010;Tiradentes
01/5/2010;Dia do Trabalhador
03/6/2010;Corpus Christi
07/9/2010;Dia da Independência do Brasil - 7 de Setembro
12/10/2010;Nossa Senhora Aparecida
02/11/2010;Finados
15/11/2010;Proclamação da República
25/12/2010;Natal
01/1/2011;Ano-Novo
21/4/2011;Tiradentes
22/4/2011;Sexta-feira Santa
24/4/2011;Páscoa
01/5/2011;Dia do Trabalhador
23/6/2011;Corpus Christi
07/9/2011;Dia da Independência do Brasil - 7 de Setembro
12/10/2011;Nossa Senhora Aparecida
02/11/2011;Finados
15/11/2011;Proclamação da República
25/12/2011;Natal
01/1/2012;Ano-Novo
06/4/2012;Sexta-feira Santa
08/4/2012;Páscoa
21/4/2012;Tiradentes
01/5/2012;Dia do Trabalhador
07/6/2012;Corpus Christi
07/9/2012;Dia da Independência do Brasil - 7 de Setembro
12/10/2012;Nossa Senhora Aparecida
02/11/2012;Finados
15/11/2012;Proclamação da República
25/12/2012;Natal
01/1/2013;Ano-Novo
29/3/2013;Sexta-feira Santa
31/3/2013;Páscoa
21/4/2013;Tiradentes
01/5/2013;Dia do Trabalhador
30/5/2013;Corpus Christi
07/9/2013;Dia da Independência do Brasil - 7 de Setembro
12/10/2013;Nossa Senhora Aparecida
02/11/2013;Finados
15/11/2013;Proclamação da República
25/12/2013;Natal
01/1/2014;Ano-Novo
18/4/2014;Sexta-feira Santa
20/4/2014;Páscoa
21/4/2014;Tiradentes
01/5/2014;Dia do Trabalhador
19/6/2014;Corpus Christi
07/9/2014;Dia da Independência do Brasil - 7 de Setembro
12/10/2014;Nossa Senhora Aparecida
02/11/2014;Finados
15/11/2014;Proclamação da República
25/12/2014;Natal
01/1/2015;Ano-Novo
03/4/2015;Sexta-feira Santa
05/4/2015;Páscoa
21/4/2015;Tiradentes
01/5/2015;Dia do Trabalhador
04/6/2015;Corpus Christi
07/9/2015;Dia da Independência do Brasil - 7 de Setembro
12/10/2015;Nossa Senhora Aparecida
02/11/2015;Finados
15/11/2015;Proclamação da República
25/12/2015;Natal
01/1/2016;Ano-Novo
25/3/2016;Sexta-feira Santa
27/3/2016;Páscoa
21/4/2016;Tiradentes
01/5/2016;Dia do Trabalhador
26/5/2016;Corpus Christi
07/9/2016;Dia da Independência do Brasil - 7 de Setembro
12/10/2016;Nossa Senhora Aparecida
02/11/2016;Finados
15/11/2016;Proclamação da República
25/12/2016;Natal
01/1/2017;Ano-Novo
14/4/2017;Sexta-feira Santa
16/4/2017;Páscoa
21/4/2017;Tiradentes
01/5/2017;Dia do Trabalhador
15/6/2017;Corpus Christi
07/9/2017;Dia da Independência do Brasil - 7 de Setembro
12/10/2017;Nossa Senhora Aparecida
02/11/2017;Finados
15/11/2017;Proclamação da República
25/12/2017;Natal
01/1/2018;Ano-Novo
30/3/2018;Sexta-feira Santa
01/4/2018;Páscoa
21/4/2018;Tiradentes
01/5/2018;Dia do Trabalhador
31/5/2018;Corpus Christi
07/9/2018;Dia da Independência do Brasil - 7 de Setembro
12/10/2018;Nossa Senhora Aparecida
02/11/2018;Finados
15/11/2018;Proclamação da República
25/12/2018;Natal
01/1/2019;Ano-Novo
19/4/2019;Sexta-feira Santa
21/4/2019;Tiradentes
21/4/2019;Páscoa
01/5/2019;Dia do Trabalhador
20/6/2019;Corpus Christi
07/9/2019;Dia da Independência do Brasil - 7 de Setembro
12/10/2019;Nossa Senhora Aparecida
02/11/2019;Finados
15/11/2019;Proclamação da República
25/12/2019;Natal
01/1/2020;Ano-Novo
10/4/2020;Sexta-feira Santa
12/4/2020;Páscoa
21/4/2020;Tiradentes
01/5/2020;Dia do Trabalhador
11/6/2020;Corpus Christi
07/9/2020;Dia da Independência do Brasil - 7 de Setembro
12/10/2020;Nossa Senhora Aparecida
02/11/2020;Finados
15/11/2020;Proclamação da República
25/12/2020;Natal
